Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
bireme	GPE	she was being rowed into port. She was a bireme, that is to say, had two tiers of	1	Bireme, Adamawa, NGA	POI	Hill						Adamawa	Nigeria	NGA	12.437040000000025	9.881050000000073	100	
bireme	GPE	The bireme was approaching the entrance to the harbor of Cenchræa.	2	Bireme, Adamawa, NGA	POI	Hill						Adamawa	Nigeria	NGA	12.437040000000025	9.881050000000073	100	
Peloponnesus	GPE	up by the hand of God to wall off the Peloponnesus as the shrine of intellectual culture and the sanctuary of	5	Peloponnesus, GRC	Locality	Zone							Greece	GRC	22.333330000000046	37.50000000000006	100	
Liberty	GPE	as the shrine of intellectual culture and the sanctuary of Liberty.	5	Liberty, MO, USA	Locality	City				Liberty	Clay County	Missouri	United States	USA	-94.41941999999995	39.24538000000007	100	
Hellas	GPE	like an artificial dyke—ran between this range and Hellas proper, a furrow nearly wholly invaded by the sea	6	Hellas	Locality	Country							Ellada	GRC	22.000000000000057	39.00000000000006	100	
Poseidon	GPE	of a flight of marble steps before a temple of Poseidon, in her open litter, lounged a lady,	7	Poseidon, Via Grazia Deledda 15, 95128, Catania, ITA	POI	Fitness Center	Via Grazia Deledda 15	Grazia Deledda	15	Catania	Catania	Sicilia	Italia	ITA	15.084350000000029	37.52586000000008	100	
Longa Duilia	GPE	The lady, whose name was Longa Duilia, was attended by female slaves, who stood behind	10	Duillia, Koundara, Boke, GIN	Locality	City					Koundara	Boke	Guinée	GIN	-13.016669999999976	12.150000000000034	70.13	
bireme	GPE	be here,” said the lady; “the bireme is in the port. I can see the ruffle	11	Bireme, Adamawa, NGA	POI	Hill						Adamawa	Nigeria	NGA	12.437040000000025	9.881050000000073	100	
Duilia	GPE	“Abominable!” exclaimed Duilia, “when the ripple in my hair is natural	13	Douilia, Mostaganem, DZA	POI	Forest						Mostaganem	Algérie	DZA	0.4651200000000699	35.86199000000005	85.71	
Duilia	GPE	eyebrow a trifle higher than the other?” asked Duilia, looking at herself in a hand mirror of polished	19	Douilia, Mostaganem, DZA	POI	Forest						Mostaganem	Algérie	DZA	0.4651200000000699	35.86199000000005	85.71	
