Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Saffron Park	GPE	THE suburb of Saffron Park lay on the sunset side of London, as red	0	Saffron Park, Padegaon, Aurangabad, Maharashtra, IND	Locality	Zone				Aurangabad	Aurangabad	Maharashtra	India	IND	75.27750000000003	19.89450000000005	100	
London	GPE	suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
sky‑line	GPE	It was built of a bright brick throughout; its sky‑line was fantastic, and even its ground plan was wild	0	Sky Line, Oklahoma City, OK, USA	Locality	Neighborhood				Oklahoma City	Oklahoma County	Oklahoma	United States	USA	-97.58770999999996	35.503810000000044	100	
New Jerusalem	GPE	got there ?’ You think Victoria is like the New Jerusalem. We know that the New Jerusalem will only be	15	New Jerusalem, Rockland Twp, PA, USA	Locality	Village				Rockland Twp	Berks County	Pennsylvania	United States	USA	-75.74724999999995	40.448180000000036	100	
New Jerusalem	GPE	is like the New Jerusalem. We know that the New Jerusalem will only be like Victoria. Yes, the poet	15	New Jerusalem, Rockland Twp, PA, USA	Locality	Village				Rockland Twp	Berks County	Pennsylvania	United States	USA	-75.74724999999995	40.448180000000036	100	
Southend	GPE	a penny steamer (if I remember correctly) at Southend. You have irritated me.”	56	Southend, Southend-on-Sea, England, GBR	Locality	City				Southend	Southend-on-Sea	England	United Kingdom	GBR	0.714330000000075	51.53782000000007	100	
Chiswick	GPE	the trap the address of an obscure public‑house on the Chiswick bank of the river. The cab whisked itself away	75	Chiswick, Sydney, New South Wales, AUS	Locality	District				Sydney		New South Wales	Australia	AUS	151.13904000000002	-33.84938999999997	100	
Saffron Park	GPE	secret by talking about anarchism to every silly woman in Saffron Park?”	109	Saffron Park, Padegaon, Aurangabad, Maharashtra, IND	Locality	Zone				Aurangabad	Aurangabad	Maharashtra	India	IND	75.27750000000003	19.89450000000005	100	
London	GPE	so express it) is the night on which our London branch, which assembles in this room, has to	122	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Brighton	GPE	were considerable. He organised the great dynamite coup of Brighton which, under happier circumstances, ought to have killed	169	Brighton, Town of Brighton, NY, USA	Locality	Village				Town of Brighton	Monroe County	New York	United States	USA	-77.57157999999998	43.11596000000003	100	
Thames	GPE	, no nearer a living. As he paced the Thames embankment, bitterly biting a cheap cigar and brooding on	237	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
old‑fashioned	GPE	chimney‑pot hat; he was wrapped in a yet more old‑fashioned cloak, black and ragged; and the combination gave	239	Old Fashioned, 2622 Georgia Ave NW, Washington, DC, 20001, USA	POI	Other Shops and Service	2622 Georgia Ave NW	Georgia	2622	Washington	District of Columbia	District of Columbia	United States	USA	-77.02291499999995	38.92483900000008	100	
Saffron Park	GPE	afterwards, cut and pointed, on the lawns of Saffron Park. A long, lean, black cigar, bought	239	Saffron Park, Padegaon, Aurangabad, Maharashtra, IND	Locality	Zone				Aurangabad	Aurangabad	Maharashtra	India	IND	75.27750000000003	19.89450000000005	100	
Thames	GPE	to be talking philosophy in a blue helmet on the Thames embankment?	255	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
Russia	GPE	the constable, “with those chance dynamite outbreaks from Russia or from Ireland, which are really the outbreaks of	268	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Ireland	GPE	“with those chance dynamite outbreaks from Russia or from Ireland, which are really the outbreaks of oppressed, if	268	Ireland, IRL	Locality	Country							Ireland	IRL	-8.14600614699998	53.17587984600004	100	
Saffron Park	GPE	whom Gregory had first encountered in the little garden of Saffron Park. Before he finally left the police premises his friend	287	Saffron Park, Padegaon, Aurangabad, Maharashtra, IND	Locality	Zone				Aurangabad	Aurangabad	Maharashtra	India	IND	75.27750000000003	19.89450000000005	100	
London	GPE	track and fight the enemy in all the drawing‑rooms of London. Where his adventure ultimately led him we have already	287	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Thames	GPE	found himself steaming in a small tug up the silent Thames, armed with swordstick and revolver, the duly elected	287	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
St. George	GPE	but the adventurer must be sane. The dragon without St. George would not even be grotesque. So this inhuman landscape	289	St George, UT, USA	Locality	City				St George	Washington County	Utah	United States	USA	-113.58329999999995	37.10976000000005	100	
Thames	GPE	mind the bright, bleak houses and terraces by the Thames looked as empty as the mountains of the moon.	289	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
Chiswick	GPE	comparatively slowly. The clear moon that had lit up Chiswick had gone down by the time that they passed Battersea	290	Chiswick, Sydney, New South Wales, AUS	Locality	District				Sydney		New South Wales	Australia	AUS	151.13904000000002	-33.84938999999997	100	
Alhambra	GPE	leaves and the statue and the Saracenic outlines of the Alhambra, it looked the replica of some French or even	307	Alhambra, Granada, Andalucía, ESP	POI	Landmark				Granada	Granada	Andalucía	España	ESP	-3.5899899999999434	37.17689000000007	100	
London	GPE	the stage conspirator. Now if a gentleman goes about London in a top hat and a frock‑coat, no one	319	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
the French Republic	GPE	days afterwards the Czar was to meet the President of the French Republic in Paris, and over their bacon and eggs upon	331	Thé, 8 Rue d'Amerval, 54000, Nancy, Meurthe-et-Moselle, Grand Est, FRA	POI	Coffee Shop	8 Rue d'Amerval	Amerval	8	Nancy	Meurthe-et-Moselle	Grand Est	France	FRA	6.180470000000071	48.69357000000008	100	
Paris	GPE	was to meet the President of the French Republic in Paris, and over their bacon and eggs upon their sunny	331	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
England	GPE	all, and set against them the whole energy of England, he would probably escape; certainly not otherwise.	335	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Strasbourg	GPE	the best things on the table—cold pheasant or Strasbourg pie. But the Secretary was a vegetarian, and	337	Strasbourg, Bas-Rhin, Grand Est, FRA	Locality	City				Strasbourg	Bas-Rhin	Grand Est	France	FRA	7.752005015000066	48.57334029100008	100	
