Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	of the streets, but indoors, in the tall London house, there was only a sickly, yellow twilight	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	Downstairs, in the little study giving on a meagre London yard, a girl was bending over a desk.	1	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Winchester	GPE	and her young brother Jimmie, who had arrived from Winchester, sat with a few old friends in the dining	7	Winchester, Hampshire, England, GBR	Locality	City				Winchester	Hampshire	England	United Kingdom	GBR	-1.3109917989999644	51.061756711000044	100	
London	GPE	men's feet, as they staggered down the narrow London staircase with their heavy burden, and then someone had	7	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	‘England—I may say the world—is mourning to	9	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
the Kingdom of Heaven	GPE	cut in glittering gilt letters: ‘Of such is the Kingdom of Heaven.’ And everywhere there was the whiteness of graves	14	Kingdom of Heaven, Moniya Rd, Akinyele, Oyo, NGA	POI	Church	Moniya Rd	Moniya		Akinyele		Oyo	Nigeria	NGA	3.8546000000000618	7.623530000000073	99.95	
London	GPE	buildings lost in the murkiness of the horizon line, London was spread out. Here and there a dome,	18	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	taking the boy by the arm, ‘there's London! We're going to make it listen to us	19	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. John's	GPE	garden, for it lived then in a house in St. John's Wood; a child who was devoted to animals and	29	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Italy	GPE	said that she was poorly, and had gone to Italy, and then they said that she was very ill	32	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Italy	GPE	brows, notching and slicing at her ships, that Italy and heaven were perhaps the same place. Nurse said	32	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Italy	GPE	that, some little time before her mother went to Italy, they took her upstairs one day and showed her	33	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
china	GPE	with his fat, pink cheeks, his round, china-blue eyes, his dump of a nose,	33	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
London	GPE	now, for they had moved to another quarter of London, and the change made a vast difference in the	35	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Wuthering Heights	GPE	favourite poem—or thrilled with the lurid emotion of Wuthering Heights. A little later Villette became her cherished book;	38	Wuthering Heights, Main Street, Haworth, Keighley, West Yorkshire, England, BD22 8, GBR	POI	Bar or Pub	Main Street	Main		Keighley	West Yorkshire	England	United Kingdom	GBR	-1.9546699999999646	53.830310000000054	100	
Jerusalem	GPE	to her at all. The poignant tragedy enacted at Jerusalem ate into her heart, and this child of fourteen	40	Jerusalem, ISR	Locality	City					Jerusalem	Jerusalem	Israel	ISR	35.21873000000005	31.780030000000068	100	
stigmatises	GPE	diatribes on virtue before she had comprehended what civilised mankind stigmatises as vice. Emile: ou, de l'Education was	41	Stigmatines Thamuang Road, Khao Niwet, Mueang Ranong, Ranong 85000, THA	POI	Church	Thamuang Road	Thamuang		Khao Niwet	Mueang Ranong	Ranong	Thailand	THA	98.62812000000008	9.95989000000003	92.18	
Italy	GPE	Em'ly is a lost woman, because she goes to Italy with that Mr. Steerforth. Was Mr. Steerforth a lost	44	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Australia	GPE	of a Peninsular and Oriental steamer on its way to Australia, and after that, on the mornings when the	50	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
Australia	GPE	applied. During the months in which those letters from Australia grew rarer, the girl understood for the first time	50	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
Zermatt	GPE	get a long holiday. He wanted to go to Zermatt. At the Riffel Alp he would get the air	56	Zermatt, Wallis, CHE	Locality	City				Zermatt	Visp	Wallis	Schweiz	CHE	7.748410000000035	46.02416000000005	100	
London	GPE	AS sometimes happens with busy people in London, the Erles had hundreds of acquaintances and but few	61	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	It was a habit which she had picked up in Paris, when she was working in a sculptor's studio	62	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Whitechapel	GPE	with one small servant, whom she had befriended in Whitechapel.	64	Whitechapel, Tower Hamlets, Greater London, England, GBR	Locality	District				Tower Hamlets	Greater London	England	United Kingdom	GBR	-0.06907257799997524	51.51636757400007	100	
South Kensington	GPE	go in and try. I suppose it'll mean South Kensington, the Royal Academy, and then—portraits of	70	South Kensington, Kensington and Chelsea, Greater London, England, GBR	Locality	District				Kensington and Chelsea	Greater London	England	United Kingdom	GBR	-0.18137034299996913	51.492758423000055	100	
Providence	GPE	. As for my own, I leave it to Providence.’	83	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Essex	GPE	. ‘She drifted into the East-end from Essex, about three years ago, and became a drudge	91	Essex, England, GBR	Locality	Zone						England	United Kingdom	GBR	0.5744900000000257	51.78449000000006	100	
London	GPE	and never dared to go back. Mary, these London idylls are not pretty. She is, however,	91	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Providence	GPE	My dear, it was only by the intervention of Providence that I didn't have to dine the first night	93	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Paris	GPE	charming trams. I told Worth when I was in Paris that I always went on the tops of omnibuses,	97	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	, of course, you prefer an artistic life in London,’ he was relieved, distinctly relieved, when	112	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
India	GPE	. I am thinking seriously of taking that trip to India and Australia, of which I told you.’	135	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Australia	GPE	am thinking seriously of taking that trip to India and Australia, of which I told you.’	135	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
Canada	GPE	Woman Question. I might come home by way of Canada, and if so, the thing would take me	137	Canada	Locality	Country							Canada	CAN	-113.64257999999995	60.108670000000075	100	
St. John's	GPE	same expression as of old, in the summerhouse in St. John's Wood, when she sat alone notching and slicing at	146	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
London	GPE	spectator the impression that he was a grown-up London gutter-boy. But in truth he had had	147	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. John's	GPE	whom Mary remembered as the daughter of a confectioner in St. John's Wood, a girl who affected peacock-blue velveteen	152	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Paris	GPE	‘How nice it must be in Paris,’ said Mary with a sigh. A place	163	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Russias	GPE	I've just come from the Ambassador of all the Russias,’ drawled a pretty woman to Lady Jane,	166	Russas, Ceará, BRA	Locality	City				Russas		Ceará	Brasil	BRA	-37.97764999999998	-4.94190999999995	85.71	
Vous	GPE	remember Lady Blaythewaite doesn't like sugar.’ ‘Vous versez le thé avec une grâce parfaite,’ sighed	168	Vòus, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Volx	Alpes-de-Haute-Provence	Provence-Alpes-Côte d'Azur	França	FRA	5.841480000000047	43.87787000000003	100	
India	GPE	went on, ‘You've sent him off to India, you naughty child, and he may die of	177	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Oxford	GPE	journalism. You pluck your editor nice and hot from Oxford—someone who has none of the old hackneyed Fleet	187	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100	
London	GPE	expected to sympathise with this lady's adventures in a London music-hall.	192	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Fourth	GPE	you say early Victorian now, or late William the Fourth?’	207	Fourth, Jetty Rd, Glenelg, Adelaide, South Australia, 5045, AUS	POI	Bar or Pub	Jetty Rd	Jetty		Adelaide		South Australia	Australia	AUS	138.51280000000008	-34.980399999999975	100	
china	GPE	the fire, with its silver kettle, its dainty china, and the hot cakes which cook used to make	210	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
the Central London	GPE	dispiriting enough. Art and artists, as exemplified in the Central London, were but doubtfully alluring; Mary wondered if anywhere	212	Central London, Greater London, England, GBR	Locality	Zone					Greater London	England	United Kingdom	GBR	-0.10202999999995654	51.523930000000064	99.95	
