Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Edinburgh	GPE	his favorite arm chair at the United Service Club in Edinburgh, his eye rested with a look of kindling amazement	0	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
Portobello	GPE	, at a retired mansion in the marine village of Portobello. Though frequently and most severely wounded in battle,	1	Portobello, Wakefield, West Yorkshire, England, GBR	Locality	District				Wakefield	West Yorkshire	England	United Kingdom	GBR	-1.4886681879999628	53.664518067000074	100	
"flames—""I"	GPE	"an obvious wish that it might be consumed in the flames—""I hope this is only the work of some wretched penny"	2	Flames, Station Road, Knowle, Solihull, West Midlands, England, B93 0, GBR	POI	Furniture Store	Station Road	Station		Solihull	West Midlands	England	United Kingdom	GBR	-1.737039999999979	52.38644000000005	79.29	
kalydor	GPE	fortune of a dentist, and complexions that Rowland's kalydor could not improve. Ten years hence, I shall	17	Kalidor, 44 Avenue de Verdun, 26000, Valence, Drôme, Auvergne-Rhône-Alpes, FRA	POI	Coffee Shop	44 Avenue de Verdun	Verdun	44	Valence	Drôme	Auvergne-Rhône-Alpes	France	FRA	4.900770000000023	44.938450000000046	85.71	
Portobello	GPE	tells me you keep a capital chop-house at Portobello, so pray invite me to drop in some day	19	Portobello, Wakefield, West Yorkshire, England, GBR	Locality	District				Wakefield	West Yorkshire	England	United Kingdom	GBR	-1.4886681879999628	53.664518067000074	100	
Portobello	GPE	of all dull places, the little obscure village of Portobello, with your august presence, only yesterday. I	20	Portobello, Wakefield, West Yorkshire, England, GBR	Locality	District				Wakefield	West Yorkshire	England	United Kingdom	GBR	-1.4886681879999628	53.664518067000074	100	
Portobello	GPE	still have a tooth left for his proposed dinner at Portobello.	27	Portobello, Wakefield, West Yorkshire, England, GBR	Locality	District				Wakefield	West Yorkshire	England	United Kingdom	GBR	-1.4886681879999628	53.664518067000074	100	
Spain	GPE	almost apply to my little villa that favourite saying in Spain,	31	Spain	Locality	Country							Kingdom of Spain	ESP	-3.6460631049999392	40.227949660000036	100	
Edinburgh	GPE	that Sir Patrick's embarrassments had caused him to leave Edinburgh by moonlight, and that, soon after, Mr.	33	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
Dublin	GPE	disgrace; and soon after both joined their regiment at Dublin.	36	Dublin, IRL	Locality	City				Dublin		Dublin	Ireland	IRL	-6.248269999999934	53.348070000000064	100	
battle-dore	GPE	law-suit may be compared to a game at battle-dore between the tribunals of England and Scotland, while the	39	Battledore Island, LA, USA	POI	Other Land Feature					Plaquemines Parish	Louisiana	United States	USA	-89.41893999999996	29.479660000000024	84.67	
England	GPE	a game at battle-dore between the tribunals of England and Scotland, while the gaping client sees the shuttle	39	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Scotland	GPE	at battle-dore between the tribunals of England and Scotland, while the gaping client sees the shuttle-cock	39	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Yorkshire	GPE	on his moors in Argyleshire, Mid-Lothian, Yorkshire, Galloway, Cromarty, and Caithness, but except	45	Yorkshire, VA, USA	Locality	Village				Yorkshire	Prince William County	Virginia	United States	USA	-77.44777999999997	38.793310000000076	100	
Yorkshire	GPE	in an almost menial capacity at Beaujolie Castle, in Yorkshire, where, as they could neither be drowned like	47	Yorkshire, VA, USA	Locality	Village				Yorkshire	Prince William County	Virginia	United States	USA	-77.44777999999997	38.793310000000076	100	
measles,—he	GPE	remembered that neither Louis nor Caroline had yet endured the measles,—he thought their Shetland ponies very dangerous, and, in	52	Méasnes, Guéret, Creuse, Nouvelle-Aquitaine, FRA	Locality	City				Guéret	Creuse	Nouvelle-Aquitaine	France	FRA	1.7777800000000639	46.416390000000035	74.67	
Edinburgh	GPE	, then on a visit at Kilmarnock Abbey, near Edinburgh. The Abbe was said to have missed some valuable	53	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
room,—a	GPE	accused both the Anstruthers of having been seen in her room,—a large sum of money, it was hinted, had	53	Rooma, Roma, ITA	Locality	City				Roma	Roma	Lazio	Itaalia	ITA	12.495650000000069	41.90322000000003	82.33	
Kilmarnock Abbey	GPE	on a few hours' notice from the splendors of Kilmarnock Abbey, to a small obscure lodging at Portobello. As	53	Abbey, Kilmallock, Limerick, IRL	Locality	Village				Kilmallock		Limerick	Ireland	IRL	-8.461729999999932	52.31813000000005	92.38	
Kilmarnock Abbey	GPE	be ascertained, except that they returned no more to Kilmarnock Abbey, and that a final extinguisher had been placed on	54	Abbey, Kilmallock, Limerick, IRL	Locality	Village				Kilmallock		Limerick	Ireland	IRL	-8.461729999999932	52.31813000000005	92.38	
Edinburgh	GPE	according to the estimate formed of it in many an Edinburgh drawing-room, it would have brought a very	64	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
