Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Yorkshire	GPE	"""Please, pass me the Yorkshire relish,"" he said in his rough way to"	5	Yorkshire, VA, USA	Locality	Village				Yorkshire	Prince William County	Virginia	United States	USA	-77.44777999999997	38.793310000000076	100	
Yorkshire	GPE	started afresh. But the girl who had passed the Yorkshire relish sat silent and listless, her food untouched,	6	Yorkshire, VA, USA	Locality	Village				Yorkshire	Prince William County	Virginia	United States	USA	-77.44777999999997	38.793310000000076	100	
Petershof	GPE	-comer, and had, indeed, arrived at Petershof only two hours before the table-d'hôte bell rang	6	Petershof, Musina, Vhembe, Limpopo, ZAF	Locality	Village				Musina	Vhembe	Limpopo	South Africa	ZAF	29.727770000000078	-22.223949999999945	100	
London	GPE	IN an old second-hand bookshop in London, an old man sat reading Gibbon's History of	16	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Petershof	GPE	that his niece, Bernardine, had arrived safely in Petershof, and that she intended to get better and come	17	Petershof, Musina, Vhembe, Limpopo, ZAF	Locality	Village				Musina	Vhembe	Limpopo	South Africa	ZAF	29.727770000000078	-22.223949999999945	100	
Bernardine	GPE	discussions —she was essentially a modern product, this Bernardine —one day she fell ill. She lingered in	25	Bernardine, Bonavigo, Verona, ITA	Locality	District				Bonavigo	Verona	Veneto	Italia	ITA	11.31379000000004	45.273180000000025	100	
London	GPE	—one day she fell ill. She lingered in London for some time, and then she went to Petershof	25	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Petershof	GPE	, but it was thought that a prolonged stay in Petershof might help her back to a reasonable amount of health	26	Petershof, Musina, Vhembe, Limpopo, ZAF	Locality	Village				Musina	Vhembe	Limpopo	South Africa	ZAF	29.727770000000078	-22.223949999999945	100	
Bernardine	GPE	"had said to her two companions before they came near Bernardine. ""I must find out who she is,"	35	Bernardine, Bonavigo, Verona, ITA	Locality	District				Bonavigo	Verona	Veneto	Italia	ITA	11.31379000000004	45.273180000000025	100	
Petershof	GPE	two instances of suicide which had lately taken place in Petershof.	53	Petershof, Musina, Vhembe, Limpopo, ZAF	Locality	Village				Musina	Vhembe	Limpopo	South Africa	ZAF	29.727770000000078	-22.223949999999945	100	
Russia	GPE	"said. ""Fancy coming all the way, from Russia to this little out-of-the-world"	54	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
London	GPE	"are many Londoners here. I suppose you are from London?"""	54	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"""I am not living in London now,"" said Bernardine cautiously."	55	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
