Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
avay	GPE	with apprehension. “We shall see summat as’ll take avay our senses.”	37	Avay, Purna, Parbhani, Maharashtra, IND	Locality	Village				Purna	Parbhani	Maharashtra	India	IND	77.06965000000008	19.246250000000032	100	
werry	GPE	,” replied the Tinker. “This seems a werry mysterious sort o’ person. Wot age should you	81	Węgry	Locality	Country							Węgry	HUN	19.424531700000045	47.16708877000008	80	
werry	GPE	no fear of his knowin’ us, for the werry moment he looked round I knocked him on the head	112	Węgry	Locality	Country							Węgry	HUN	19.424531700000045	47.16708877000008	80	
Adelphi	GPE	’em ransom it as the brigands you see at the Adelphi or the Surrey sarves their prisoners, threatenin’ to	114	Adelphi, MD, USA	Locality	Village				Adelphi	Prince George's County	Maryland	United States	USA	-76.96701999999993	39.00374000000005	100	
Surrey	GPE	as the brigands you see at the Adelphi or the Surrey sarves their prisoners, threatenin’ to send first an	114	Surrey, BC, CAN	Locality	City				Surrey	Greater Vancouver Regional District	British Columbia	Canada	CAN	-122.82795599999997	49.10589700000003	100	
werry	GPE	once the poor animal’s throat vill be cut that werry night.”	114	Węgry	Locality	Country							Węgry	HUN	19.424531700000045	47.16708877000008	80	
France	GPE	of her favourite than she embarks in the steamer for France, in the hope of keeping her dog safe there	116	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
France	GPE	“But there’s dog-fanciers in France, ain’t there?” asked the Sandman.	118	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
France	GPE	Ginger; “there’s as many fanciers i’ France as here. Vy, ve drives a smartish trade	119	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
London	GPE	’s scarcely a steamer as leaves the port o’ London but takes out a cargo o’ dogs. Ve	119	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Ostend	GPE	cheap—and no questins asked. They goes to Ostend, Antverp, Rotterdam, Hamburg, and sometimes to	119	Ostend, BEL	Locality	City				Ostend	West-Vlaanderen	Vlaams Gewest	België	BEL	2.927000000000021	51.21551000000005	100	
Antverp	GPE	and no questins asked. They goes to Ostend, Antverp, Rotterdam, Hamburg, and sometimes to Havre.	119	Antverpy, BEL	Locality	City				Antwerp	ANT	Flanders	Belgie	BEL	4.40026000000006	51.220470000000034	87.5	
Rotterdam	GPE	questins asked. They goes to Ostend, Antverp, Rotterdam, Hamburg, and sometimes to Havre. There’s	119	Rotterdam, NLD	Locality	City					Rotterdam	Zuid-Holland	Nederland	NLD	4.487160000000074	51.91438000000005	100	
Hamburg	GPE	. They goes to Ostend, Antverp, Rotterdam, Hamburg, and sometimes to Havre. There’s a Mounseer	119	Hamburg, DEU	Locality	City				Hamburg	Hamburg	Hamburg	Deutschland	DEU	9.987450000000024	53.55562000000003	100	
Havre	GPE	, Antverp, Rotterdam, Hamburg, and sometimes to Havre. There’s a Mounseer Coqquilu as comes over to	119	Havre, MT, USA	Locality	City				Havre	Hill County	Montana	United States	USA	-109.67165999999997	48.55297000000007	100	
party’ll	GPE	the vay,” replied Ginger. “Sometimes a party’ll vant a couple o’ dogs for the shootin’	133	Party, Friedrichstraße 56, 54516, Wittlich, Rheinland-Pfalz, DEU	POI	Pizza	Friedrichstraße 56	Friedrich	56	Wittlich	Bernkastel-Wittlich	Rheinland-Pfalz	Deutschland	DEU	6.9025400000000445	49.98849000000007	82.85	
Surrey	GPE	asks, ‘Vich vay are you a-goin’—into Surrey or Kent?’ And accordin’ as the answer	133	Surrey, BC, CAN	Locality	City				Surrey	Greater Vancouver Regional District	British Columbia	Canada	CAN	-122.82795599999997	49.10589700000003	100	
Kent	GPE	‘Vich vay are you a-goin’—into Surrey or Kent?’ And accordin’ as the answer is given	133	Kent, England, GBR	Locality	Zone						England	United Kingdom	GBR	0.7239300000000526	51.23667000000006	100	
London	GPE	perfectly vell, and remembers the Great Fire o’ London, as if it only occurred yesterday.”	137	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
ourang	GPE	nose was broad and flat, like that of an ourang-outang; the resemblance to which animal was heightened	144	Ouranga, Kadava, Katihar, Bihar, IND	Locality	District				Kadava	Katihar	Bihar	Bharat	IND	87.67278000000005	25.67757000000006	85.71	
London	GPE	loosened. “I’ve seen this great city of London pulled down, and built up again—if that	158	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	were to describe the changes that have taken place in London since I’ve known it, I might go on	160	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Thames	GPE	The whole aspect of the place is altered. The Thames itself is unlike the Thames of old. Its waters	160	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
Richmond	GPE	above London Bridge as they are now at Kew or Richmond; and its banks, from Whitefriars to Scotland Yard	160	Richmond, CA, USA	Locality	City				Richmond	Contra Costa County	California	United States	USA	-122.34292999999997	37.93784000000005	100	
Whitefriars	GPE	at Kew or Richmond; and its banks, from Whitefriars to Scotland Yard, were edged with gardens. And	160	Whitefriars, Hill Road, Penwortham, Preston, Lancashire, England, PR1 9, GBR	POI	School	Hill Road	Hill		Preston	Lancashire	England	United Kingdom	GBR	-2.725349999999935	53.749070000000074	100	
London	GPE	coal-barges, lighters, and steamers away. London is a mighty city, wonderful to behold and examine	162	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Old London	GPE	Oh! if you could but have a glimpse of Old London, you would not be able to endure the modern	168	Old London, TX, USA	Locality	Village				Old London	Rusk County	Texas	United States	USA	-94.94447999999994	32.229490000000055	100	
werry	GPE	one o’ them smart chaps they calls, and werry properly, penny-a-liars,” observed	169	Węgry	Locality	Country							Węgry	HUN	19.424531700000045	47.16708877000008	80	
Southwark	GPE	the bull-baiting and bear-baiting houses in Southwark,” replied Old Parr. “I’ve seen	170	Southwark, Greater London, England, GBR	Locality	District				Southwark	Greater London	England	United Kingdom	GBR	-0.09679500899994764	51.50275630600004	100	
Jist	GPE	decide at vonce,” said the Tinker. “Jist examine them papers,” he added, handing the	209	Jist, Avenue des Fauvettes 40, 7090, Braine-le-Comte, BEL	POI	Fitness Center	Avenue des Fauvettes 40	Fauvettes	40	Braine-le-Comte	Hainaut	Wallonie	Belgique	BEL	4.15694000000002	50.62028000000004	100	
avay	GPE	him! It’s my opinion the devil has flown avay with the old feller. His time wos nearer at	212	Avay, Purna, Parbhani, Maharashtra, IND	Locality	Village				Purna	Parbhani	Maharashtra	India	IND	77.06965000000008	19.246250000000032	100	
astir	GPE	Though it was still early, the road was astir with passengers; and many waggons and carts, laden	231	Astir, Epimenidou, 712 02, Irakleio, GRC	POI	Rental Cars	Epimenidou	Epimenidou		Irakleio	Irakleio	Irakleio	Ellada	GRC	25.137360000000058	35.341180000000065	100	
Hyde Park	GPE	look for you at the foot of the statue in Hyde Park.”	286	Hyde Park, UT, USA	Locality	City				Hyde Park	Cache County	Utah	United States	USA	-111.82055999999994	41.79910000000007	100	
avay	GPE	’ve been i’ the habit o’ makin’ avay with a young ooman vonce every ten years. Your	430	Avay, Purna, Parbhani, Maharashtra, IND	Locality	Village				Purna	Parbhani	Maharashtra	India	IND	77.06965000000008	19.246250000000032	100	
wictim	GPE	creater I jist see ain’t to be the next wictim?” said Ginger.	432	Witim, ulica Jana z Kolna, 72-346, Pobierowo, Rewal, Powiat Gryficki, Woj. Zachodniopomorskie, POL	POI	Furniture Store	ulica Jana z Kolna	Jana z Kolna		Rewal	Powiat Gryficki	Woj. Zachodniopomorskie	Polska	POL	14.933640000000025	54.06165000000004	83.33	
havin’	GPE	halchemist o’ Queen Bess’s time, and, havin’ drank the ‘lixir vich the doctor had made for	437	Havin, Kurtuluş, Atatürk Caddesi, 01130, Seyhan, Adana, TUR	POI	Clothing Store	Atatürk Caddesi	Atatürk		Kurtuluş	Seyhan	Adana	Türkiye	TUR	35.32346000000007	37.00051000000008	99.99	
