Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
fairyland	GPE	eyes had looked on glamour; he had strayed in fairyland. The holidays were nearly done, and Lucian Taylor	1	Fairyland, Queensland, AUS	Locality	City				Fairyland		Queensland	Australia	AUS	150.92752000000007	-26.51586999999995	100	
Britain	GPE	he loved to meditate on a land laid waste, Britain deserted by the legions, the rare pavements riven by	10	Britain	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100	
Arles	GPE	farmhouses blaze in the sunlight as if they stood in Arles or Avignon or famed Tarascon by Rhone.	12	Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Arles	Bouches-du-Rhône	Provence-Alpes-Côte d'Azur	France	FRA	4.627381977000027	43.67680557400007	100	
Avignon	GPE	in the sunlight as if they stood in Arles or Avignon or famed Tarascon by Rhone.	12	Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Avignon	Vaucluse	Provence-Alpes-Côte d'Azur	France	FRA	4.805311547000031	43.94931522600007	100	
Siluria	GPE	of the little town, once the glorious capital of Siluria, hung haze-like over the ragged roofs and	38	Siluria, Alabaster, AL, USA	Locality	Village				Alabaster	Shelby County	Alabama	United States	USA	-86.82313999999997	33.23150000000004	100	
Dublin	GPE	"""Baron De Carti's great-grandfather was a Dublin attorney,"" he remarked. ""Which his name"	42	Dublin, IRL	Locality	City				Dublin		Dublin	Ireland	IRL	-6.248269999999934	53.348070000000064	100	
London	GPE	it was quite settled that he should go up to London with certain definite aims. Mr. Taylor told the good	65	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Cabala	GPE	and useless. The strange pomp and symbolism of the Cabala, with its hint of more terrible things; the	71	Çabala, Yayladağı, Hatay, TUR	Locality	City				Çabala	Yayladağı	Hatay	Türkiye	TUR	36.103000000000065	35.89500000000004	100	
London	GPE	escape, to set himself free in the wilderness of London, and to be secure amidst the murmur of modern	74	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	away, and join the sad procession in the murmuring London streets, far from the shadow of those awful hills	78	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	possession, and wrote at once to a bookseller in London for a copy of The Chorus in Green, as	79	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Caermaen	GPE	struck him as he was walking through the streets of Caermaen that evening. At the post-office, when	80	Carmen, Rosenthal 2, 98596, Brotterode-Trusetal, Trusetal, Thüringen, DEU	POI	Hotel	Rosenthal 2	Rosenthal	2	Brotterode-Trusetal	Schmalkalden-Meiningen	Thüringen	Deutschland	DEU	10.401980000000037	50.777100000000075	75	
Lisbon	GPE	"""formerly a Romanist priest, now an evangelist in Lisbon,"" would address the meeting. ""Funds are"	81	Lisbon, PRT	Locality	City				Lisbon	Lisbon	Lisbon	Portugal	PRT	-9.149509999999964	38.726330000000075	100	
Beit	GPE	civilizations. There was no hint of anything like the Beit system of publishing in existence amongst them; the great	81	Bet, Be'er Sheva, ISR	Locality	Zone				Be'er Sheva	Be'er Sheva	Darom	Israel	ISR	34.79096000000004	31.255730000000028	100	
London	GPE	not peculiar to Caermaen; the rich business men in London and the successful brother author were probably amusing themselves at	81	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
spargens	GPE	was the note of the Roman trumpet, tuba mirum spargens sonum, filling all the hollow valley with its command	85															nothing found
Beit	GPE	newspaper, he gave his father the outlines of the Beit case, producing the pretty little book called The Chorus	98	Bet, Be'er Sheva, ISR	Locality	Zone				Be'er Sheva	Be'er Sheva	Darom	Israel	ISR	34.79096000000004	31.255730000000028	100	
Beit	GPE	"""Rascals? Which rascals? Oh, you mean Beit. I had forgotten all about it. No;"	123	Bet, Be'er Sheva, ISR	Locality	Zone				Be'er Sheva	Be'er Sheva	Darom	Israel	ISR	34.79096000000004	31.255730000000028	100	
London	GPE	position in the bank, and betook himself to a London garret, Lucian was not surprised at the general verdict	124	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Caermaen	GPE	and his mother took a little modern stucco villa in Caermaen, wishing to be near their dear friends. But	131	Carmen, Rosenthal 2, 98596, Brotterode-Trusetal, Trusetal, Thüringen, DEU	POI	Hotel	Rosenthal 2	Rosenthal	2	Brotterode-Trusetal	Schmalkalden-Meiningen	Thüringen	Deutschland	DEU	10.401980000000037	50.777100000000075	75	
London	GPE	". ""When did you say you were going to London, Mr. Taylor?"""	144	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Beit	GPE	book that had been stolen from him by the enterprising Beit. He shuddered as he though of how nearly he	145	Bet, Be'er Sheva, ISR	Locality	Zone				Be'er Sheva	Be'er Sheva	Darom	Israel	ISR	34.79096000000004	31.255730000000028	100	
china	GPE	"while they chose the suite in white enamel, and china for ""our bedroom,"" the modest salesman doing"	147	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Rabelais	GPE	So they would chirp over their treasures, as in Rabelais they chirped over their cups; and every thing would	147	Rabelais, Chlef, DZA	Locality	City				’Aïn Merane		Chlef	Algérie	DZA	0.9703700000000595	36.16277000000008	100	
Paris	GPE	. Don't let him go about by himself in Paris. Men are so queer, one never knows.	147	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	"of his skill to an ""artistic firm"" in London; a verse of the ""Maud,"" curiously"	148	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Cork-ho	GPE	beer for supper; aged laborers were urged to try Cork-ho, the new temperance drink; an uncouth beverage,	164	Cork, IRL	Locality	City				Cork		Cork	Ireland	IRL	-8.472789999999975	51.898340000000076	85.8	
syde	GPE	with Christ upon the Cross having Marie on the one syde and John on the other. And below were six	203	Syde, Cotswold, Gloucestershire, England, GBR	Locality	Village				Cotswold	Gloucestershire	England	United Kingdom	GBR	-2.074550494999926	51.79650615400004	100	
Siluria	GPE	times, and rebuilding the splendid and golden city of Siluria. All this mystic town was for the delight of	219	Siluria, Alabaster, AL, USA	Locality	Village				Alabaster	Shelby County	Alabama	United States	USA	-86.82313999999997	33.23150000000004	100	
Australia	GPE	the savage in delicacy. The degraded black fellow of Australia could distinguish odors in a way that made the consumer	223	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
ilex	GPE	, the quiet red of brickwork, dark groves of ilex, and cypress, and laurel, glowing rose-	230	Ilex, 15 Ray Drive, Maidenhead, Berkshire, England, SL6 8, GBR	POI	Hostel	15 Ray Drive	Ray	15	Maidenhead	Berkshire	England	United Kingdom	GBR	-0.7060399999999731	51.524020000000064	100	
Faunus	GPE	"""Look for the jar marked Faunus; you will be glad."""	238	Faunus, Spalding Twp, MI, USA	Locality	Village				Spalding Twp	Menominee County	Michigan	United States	USA	-87.51373999999998	45.894330000000025	100	
Faunus	GPE	"""Look for the jar marked Faunus; you will be glad."""	244	Faunus, Spalding Twp, MI, USA	Locality	Village				Spalding Twp	Menominee County	Michigan	United States	USA	-87.51373999999998	45.894330000000025	100	
London	GPE	told him you were a literary man, living in London, and said he was afraid you wouldn't find	268	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Utter Gwent	GPE	had heard that she had died in her farm in Utter Gwent, he would have experienced only a passing sorrow,	275	Gwent, Wales, GBR	Locality	Zone						Wales	United Kingdom	GBR	-3.19083999999998	51.726600000000076	80	
London	GPE	he came to the retreat in the waste places of London.	276	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	dishonored and forlorn, standing amongst rusty bedsteads, sorry china, and all the refuse of homes dead and desolate	278	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
London	GPE	same element that made the journey of Roderick Random to London, so ostensibly a narrative of coarse jokes and common	286	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	winter light. He had been some seven months in London when this odd experience first occurred to him. The	289	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	to count up the months since he had come to London; he had received his two thousand pounds in March	289	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
India	GPE	""" searching for the face of a purchaser behind the India-rubber plants, stuffed birds, and piles of"	289	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
London	GPE	there used to be some excellent eating-houses in London where one could get a good cut from the joint	292	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Islington	GPE	you should try Mr. Jones's in Water Street, Islington, whose father came from near Caermaen, and was	292	Islington, Greater London, England, GBR	Locality	City				Islington	Greater London	England	United Kingdom	GBR	-0.1030399999999645	51.53622000000007	100	
Caermaen	GPE	Water Street, Islington, whose father came from near Caermaen, and was always most comfortable in her day.	292	Carmen, Rosenthal 2, 98596, Brotterode-Trusetal, Trusetal, Thüringen, DEU	POI	Hotel	Rosenthal 2	Rosenthal	2	Brotterode-Trusetal	Schmalkalden-Meiningen	Thüringen	Deutschland	DEU	10.401980000000037	50.777100000000075	75	
Hawthorne	GPE	about the village tragedy of the Scarlet Letter. In Hawthorne the story and the suggestion, though quite distinct and	295	Hawthorne, CA, USA	Locality	City				Hawthorne	Los Angeles County	California	United States	USA	-118.35272999999995	33.918220000000076	100	
the San Graal	GPE	"was of the enchanted forest, of Avalon, of the San Graal, ""far in the spiritual city."" And"	295	Santo Graal, Via Santa Maria 4, 76125, Trani, Barletta-Andria-Trani, ITA	POI	Bar or Pub	Via Santa Maria 4	Santa Maria	4	Trani	Barletta-Andria-Trani	Puglia	Italia	ITA	16.421430000000043	41.27724000000006	83.64	
Chinon	GPE	, the Tourainian sun shining on the hot rock above Chinon, on the maze of narrow, climbing streets,	295	Chinon, Indre-et-Loire, Centre-Val de Loire, FRA	Locality	City				Chinon	Indre-et-Loire	Centre-Val de Loire	France	FRA	0.24020676900005355	47.16673018000006	100	
Loire	GPE	steep road. The gracious and ornate châteaux on the Loire and the Vienne rose fair and shining to confront the	295	Loire, Auvergne-Rhône-Alpes, FRA	Locality	County					Loire	Auvergne-Rhône-Alpes	France	FRA	4.16453524800005	45.72802022600007	100	
