Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Garsong	GPE	“Garsong,” he calls out, “what’s the	3	Garsyong, Jharlang, Bagmati, NPL	Locality	Village				Jharlang	Dhading	Bagmati	Nepal	NPL	85.03407000000004	28.127390000000048	87.5	
Speshul	GPE	.  When I’m on the kerb shouting ‘Speshul!’ and you comes to me with yer ’	6	S'Peshal, Hjartshahjalal Road, Silet, BGD	POI	Clothing Store	Hjartshahjalal Road	Hjartshahjalal		Silet	Silet	Silet	Bangladesh	BGD	91.86828000000008	24.897280000000023	85.66	
Speshul	GPE	would run to that—taught her to yell “Speshul!” and found a corner for her.  	12	S'Peshal, Hjartshahjalal Road, Silet, BGD	POI	Clothing Store	Hjartshahjalal Road	Hjartshahjalal		Silet	Silet	Silet	Bangladesh	BGD	91.86828000000008	24.897280000000023	85.66	
lidy	GPE	We’ve found out one or two things about that lidy,” he replies.  “D’yer remember ’	28	Lidy, Kashira, Moskovskaya oblast', RUS	Locality	District				Kashira	Kashira	Moskovskaya oblast'	Rossiya	RUS	38.11278000000004	54.81666000000007	100	
Oxford	GPE	.  She’s a-coming out at the Oxford to-morrow.  It’s ’er I	30	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100	
London	GPE	Before three months were up she was the rage of London—leastways of the music-hall part of it	38	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
India	GPE	was the daughter of an officer who had died in India when she was a baby, and the niece of	38	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Australia	GPE	baby, and the niece of a bishop somewhere in Australia.  He was dead too.  There did	38	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
Brighton	GPE	It was Caroline Trevelyan at Home, Caroline Trevelyan at Brighton, Caroline Trevelyan and the Shah of Persia, Caroline	39	Brighton, Town of Brighton, NY, USA	Locality	Village				Town of Brighton	Monroe County	New York	United States	USA	-77.57157999999998	43.11596000000003	100	
Persia	GPE	Trevelyan at Brighton, Caroline Trevelyan and the Shah of Persia, Caroline Trevelyan and the Old Apple-woman.	39	Persia, IA, USA	Locality	City				Persia	Harrison County	Iowa	United States	USA	-95.56854999999996	41.57906000000003	100	
London	GPE	folks forgot a bit, and they came back to London.  I often used to see her name in	58	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	When I did it was at the Hôtel Bristol in Paris, and she was in widow’s weeds, the	85	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Capetown	GPE	“I suppose you’ll be bossing that bar in Capetown now before long?”	86	Capetown, CA, USA	Locality	Village				Capetown	Humboldt County	California	United States	USA	-124.36719	40.46583000000004	100	
