Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Aden	GPE	It was an Aden boat loaded with passengers impatient to return to their ship	2	Aden, Craiter, Governorate Number One, YEM	Locality	City				Aden	Craiter	Governorate Number One	Yemen	YEM	45.03667000000007	12.779440000000022	100	
Aden	GPE	cushion under my head, and a first-rate Aden cigarette in my teeth, and stared up through the	98	Aden, Craiter, Governorate Number One, YEM	Locality	City				Aden	Craiter	Governorate Number One	Yemen	YEM	45.03667000000007	12.779440000000022	100	
England	GPE	I lay back contentedly, with my thoughts wandering to England and all I would do there, and with a	104	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Providence	GPE	thing one would like to be specially exempted from by Providence, but I'm not, unfortunately.’	143	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
saffron moon	GPE	A huge saffron moon rolled downwards through the purple sky that hung low over	166	Saffron Moon, Bhagoji Keer Marg, Mahim, Mumbai, Maharashtra, 400016, IND	POI	Business Facility	Bhagoji Keer Marg	Bhagoji Keer		Mumbai	Mumbai	Maharashtra	India	IND	72.84311000000008	19.037010000000066	100	
Greece	GPE	looked, gazing down one of the green alleys of Greece. The thought shot across me for one moment,	185	Greece	Locality	Country							Greece	GRC	22.000000000000057	39.00000000000006	100	
Aden	GPE	‘She joined the ship at Aden....’	240	Aden, Craiter, Governorate Number One, YEM	Locality	City				Aden	Craiter	Governorate Number One	Yemen	YEM	45.03667000000007	12.779440000000022	100	
Dicey	GPE	‘And the charming Dicey has helped to enlighten you I suppose?’ answered	251	Dicey, TX, USA	Locality	Village				Dicey	Parker County	Texas	United States	USA	-97.70318999999995	32.804310000000044	100	
Athens	GPE	Two philosophers in ancient Athens could hardly have discoursed more indefatigably in one of their	282	Athens, GRC	Locality	City					Athens	Attiki	Greece	GRC	23.73640000000006	37.97614000000004	100	
India	GPE	the empty, frivolous life of an army man in India. When with her, those six years seemed taken	286	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Eurydice	GPE	for me, caged on board face to face with Eurydice, never separated by more than a few feet of	403	Eurydice, 3600 N Halsted St, Chicago, IL, 60613, USA	POI	Other Shops and Service	3600 N Halsted St	Halsted	3600	Chicago	Cook County	Illinois	United States	USA	-87.64985799999994	41.94785200000007	100	
Marseilles	GPE	The last day came. We were due at Marseilles at seven in the evening. We dined at six	413	Marseilles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Marseille	Bouches-du-Rhône	Provence-Alpes-Côte d'Azur	France	FRA	5.3810700000000224	43.29695000000004	100	
Marseilles	GPE	rattled in the lumbering cab through the stony streets of Marseilles.	450	Marseilles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Marseille	Bouches-du-Rhône	Provence-Alpes-Côte d'Azur	France	FRA	5.3810700000000224	43.29695000000004	100	
London	GPE	‘How soon can we get on to London?’ I asked.	451	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	‘Yes ... well, Paris, then ... for God's sake let's get	455	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	,’ said Dickinson resignedly; ‘let it be Paris, then, and we'll go on by the	456	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	THE next six months, spent partly in Paris partly in London, were six months lost, thrown	457	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	next six months, spent partly in Paris partly in London, were six months lost, thrown away in dissipation	457	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Dover	GPE	I remembered he had a big place just out of Dover.	477	Dover, Kent, England, GBR	Locality	City				Dover	Kent	England	United Kingdom	GBR	1.3084585650000236	51.12814449600006	100	
Dover	GPE	. It was not long before the departure of the Dover express, and a crowd of thirsty passengers had closed	527	Dover, Kent, England, GBR	Locality	City				Dover	Kent	England	United Kingdom	GBR	1.3084585650000236	51.12814449600006	100	
Victoria	GPE	and who on earth do you think I met at Victoria?’	618	Victoria, TZA	POI	Lake							Tanzania	TZA	33.00000000000006	-0.9999999999999432	100	
Eurydice	GPE	of our argument, and when the servant left, Eurydice crossed the room to make the tea, with some	682	Eurydice, 3600 N Halsted St, Chicago, IL, 60613, USA	POI	Other Shops and Service	3600 N Halsted St	Halsted	3600	Chicago	Cook County	Illinois	United States	USA	-87.64985799999994	41.94785200000007	100	
Eurydice	GPE	the course of the next five weeks I had seen Eurydice perhaps six or seven times, calling at her house	692	Eurydice, 3600 N Halsted St, Chicago, IL, 60613, USA	POI	Other Shops and Service	3600 N Halsted St	Halsted	3600	Chicago	Cook County	Illinois	United States	USA	-87.64985799999994	41.94785200000007	100	
china	GPE	lowered venetians, played amongst the blue egg-shell china, and caressed the white hands moving the cup in	706	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
England	GPE	‘I'm leaving England very shortly,’ I said, after there had	709	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Gibraltar	GPE	. I've settled to leave Wednesday. Going to Gibraltar with Dickinson. We shall use up the rest of	713	Gibraltar	Locality	Country							Gibraltar	GIB	-5.348661838999931	36.13600766900004	100	
India	GPE	‘Ah, and then go on to India from there?’ she said quietly.	715	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Alhambra	GPE	reason, he confessed he had a seat at the Alhambra for that night to take a farewell view of a	725	Alhambra, Granada, Andalucía, ESP	POI	Landmark				Granada	Granada	Andalucía	España	ESP	-3.5899899999999434	37.17689000000007	100	
