Location,ent_type,context,p_no
New Zealand,GPE,", you know. Please, Ma’am, is this New Zealand or Australia?’ (and she tried to curtsey",8
Australia,GPE,". Please, Ma’am, is this New Zealand or Australia?’ (and she tried to curtsey as she",8
London,GPE,"Table doesn’t signify: let’s try Geography. London is the capital of Paris, and Paris is the",33
Paris,GPE,"let’s try Geography. London is the capital of Paris, and Paris is the capital of Rome, and",33
Paris,GPE,"Geography. London is the capital of Paris, and Paris is the capital of Rome, and Rome—no",33
Rome,GPE,"capital of Paris, and Paris is the capital of Rome, and Rome—no, that’s all wrong",33
Rome,GPE,", and Paris is the capital of Rome, and Rome—no, that’s all wrong, I’m",33
Mercia,GPE,"and conquest. Edwin and Morcar, the earls of Mercia and Northumbria—“’",51
Northumbria,GPE,". Edwin and Morcar, the earls of Mercia and Northumbria—“’",51
Mercia,GPE,"proceed. “Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand",55
Northumbria,GPE,"“Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the",55
Canary,LOC,"air doesn’t suit my throat!’ and a Canary called out in a trembling voice to its children,",93
Rabbit’s—‘Pat,GPE,Next came an angry voice—the Rabbit’s—‘Pat! Pat! Where are you?’ And then,110
Pigeon,GPE,‘Serpent!’ screamed the Pigeon.,185
Queens,GPE,"hearts. Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit:",391
earth,LOC,"poor Alice, who felt ready to sink into the earth. At last the Gryphon said to the Mock Turtle",509
slates’ll,GPE,neighbour to tell him. ‘A nice muddle their slates’ll be in before the trial’s over!’ thought,622
Wonderland,GPE,", with closed eyes, and half believed herself in Wonderland, though she knew she had but to open them",751
Wonderland,GPE,"a strange tale, perhaps even with the dream of Wonderland of long ago: and how she would feel with",752
