Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
New Zealand	GPE	, you know. Please, Ma’am, is this New Zealand or Australia?’ (and she tried to curtsey	8	New Zealand	Locality	Country							New Zealand	NZL	172.34343250000006	-42.28723356399996	100	
Australia	GPE	. Please, Ma’am, is this New Zealand or Australia?’ (and she tried to curtsey as she	8	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
London	GPE	Table doesn’t signify: let’s try Geography. London is the capital of Paris, and Paris is the	33	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	let’s try Geography. London is the capital of Paris, and Paris is the capital of Rome, and	33	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	Geography. London is the capital of Paris, and Paris is the capital of Rome, and Rome—no	33	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Rome	GPE	capital of Paris, and Paris is the capital of Rome, and Rome—no, that’s all wrong	33	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Rome	GPE	, and Paris is the capital of Rome, and Rome—no, that’s all wrong, I’m	33	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Mercia	GPE	and conquest. Edwin and Morcar, the earls of Mercia and Northumbria—“’	51	Mercia, Jalan Nginden Tembusan, Sukolilo, Jawa Timur, 60118, IDN	POI	Fitness Center	Jalan Nginden Tembusan	Nginden Tembusan		Sukolilo		Jawa Timur	Indonesia	IDN	112.7622	-7.3003799999999615	100	
Northumbria	GPE	. Edwin and Morcar, the earls of Mercia and Northumbria—“’	51	Northumbria, England, GBR	Locality	City				Northumbria		England	United Kingdom	GBR	-2.499999999999943	55.00000000000006	100	
Mercia	GPE	proceed. “Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand	55	Mercia, Jalan Nginden Tembusan, Sukolilo, Jawa Timur, 60118, IDN	POI	Fitness Center	Jalan Nginden Tembusan	Nginden Tembusan		Sukolilo		Jawa Timur	Indonesia	IDN	112.7622	-7.3003799999999615	100	
Northumbria	GPE	“Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the	55	Northumbria, England, GBR	Locality	City				Northumbria		England	United Kingdom	GBR	-2.499999999999943	55.00000000000006	100	
Rabbit’s—‘Pat	GPE	Next came an angry voice—the Rabbit’s—‘Pat! Pat! Where are you?’ And then	110	Rabbit, 6 Pottergate, Norwich, Norfolk, England, NR2 1, GBR	POI	Coffee Shop	6 Pottergate	Pottergate	6	Norwich	Norfolk	England	United Kingdom	GBR	1.29269000000005	52.629800000000046	72.72	
Pigeon	GPE	‘Serpent!’ screamed the Pigeon.	185	Pigeon, MI, USA	Locality	City				Pigeon	Huron County	Michigan	United States	USA	-83.27041999999994	43.829800000000034	100	
Queens	GPE	hearts. Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit:	391	Queens, NY, USA	Locality	City				Queens	Queens County	New York	United States	USA	-73.82998999999995	40.714000000000055	100	
slates’ll	GPE	neighbour to tell him. ‘A nice muddle their slates’ll be in before the trial’s over!’ thought	622	Slates, The Daubentons, Bury St Edmunds, Suffolk, England, IP33 1, GBR	POI	Brewpub	The Daubentons	The Daubentons		Bury St Edmunds	Suffolk	England	United Kingdom	GBR	0.7251400000000672	52.24718000000007	84.99	
Wonderland	GPE	, with closed eyes, and half believed herself in Wonderland, though she knew she had but to open them	751	Wonderland, Town of Southwest Harbor, ME, USA	Locality	Village				Town of Southwest Harbor	Hancock County	Maine	United States	USA	-68.31921999999997	44.235250000000065	100	
Wonderland	GPE	a strange tale, perhaps even with the dream of Wonderland of long ago: and how she would feel with	752	Wonderland, Town of Southwest Harbor, ME, USA	Locality	Village				Town of Southwest Harbor	Hancock County	Maine	United States	USA	-68.31921999999997	44.235250000000065	100	
