Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Rome	GPE	since she was in her teens in a convent at Rome, and he was father confessor, I suppose--	22	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Begum,--as	GPE	Palace. Pidar Narâyan plays the fiddle, and the Begum,--as you call her,--Miss Laila Bonaventura, has a voice.	30	J Begum, M E Road, Paltan Bazar, Guwahati, Kamrup Metropolitan, Assam, 781008, IND	POI	Food and Beverage Shop	M E Road	M E		Guwahati	Kamrup Metropolitan	Assam	India	IND	91.75276000000008	26.180160000000058	86.61	
Agra	GPE	; for the pathways were of white marble and red Agra stone, the courtyard of purple-blue brick.	54	Agra, Uttar Pradesh, IND	Locality	City				Agra	Agra	Uttar Pradesh	India	IND	78.00005000000004	27.19219000000004	100	
waistcloth	GPE	preparing his daily food. Naked, save for his waistcloth, and the thread of the twice-born over	66															nothing found
India	GPE	sight to be seen a hundred times a day in India; one which should never be forgotten.	67	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Italy	GPE	"""My guardian and I speak it. He loves Italy and the Italians. He knew my grandmother there."	106	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Khân	GPE	"""Who was it, Khân-jee?"" asked Father Ninian, in a"	144	Khan, Aurangabad Sub-District, Aurangabad, Bihar, IND	Locality	District				Aurangabad Sub-District	Aurangabad	Bihar	India	IND	84.45890000000009	24.76248000000004	100	
wigwam	GPE	been the background of sand and reed, spear and wigwam, the foreground of net and fish. Yet the	176	Wigwam, Eldred Twp, PA, USA	Locality	Village				Eldred Twp	McKean County	Pennsylvania	United States	USA	-78.46376999999995	41.99888000000004	100	
Khân	GPE	"""Not a cowrie less, Khân-jee. 'Tis the only one in the"	177	Khan, Aurangabad Sub-District, Aurangabad, Bihar, IND	Locality	District				Aurangabad Sub-District	Aurangabad	Bihar	India	IND	84.45890000000009	24.76248000000004	100	
Shropshire	GPE	retainer's views on preserving being absolutely those of a Shropshire squire who is also a J. P.	183	Shropshire, England, GBR	Locality	County					Shropshire	England	United Kingdom	GBR	-2.7137354779999328	52.64334619700003	100	
Italy wilayat	GPE	"brought him a bird that would sing of itself from Italy wilayat."""	187	Wilāyat, Wāghaz̧, Ghazni, AFG	Locality	City					Wāghaz̧	Ghazni	Afghanistan	AFG	68.14240000000007	33.430210000000045	83.33	
Nawah	GPE	master, like two peas in one pod with the Nawah. Except for women. Pidar Narâyan took his way	191	Nawah, Devsar, Kulgam, Jammu & Kashmir	Locality	Village				Devsar	Kulgam	Jammu & Kashmir			75.11802000000006	33.61927000000003	100	
Kanjara	GPE	brother's, last hope of favour. Walidâd, Kanjara, who had been king's caterer for years before	195	Kanjara, Jarapada, Angul, Odisha, IND	Locality	Village				Jarapada	Angul	Odisha	India	IND	84.90336000000008	20.863630000000057	100	
Italy	GPE	, was not of our race. He was of Italy wilayat and a prince. So, one day,	197	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
England	GPE	"of another ""Miss,"" who had returned to England only to die, as so many do, from"	223	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Roshan Khân	GPE	to one who had gone ahead by express train like Roshan Khân. Thoroughly well-educated, he knew himself to	226	Roshan Khan, Qamber Shahdadkot District, Sind, PAK	Locality	City					Qamber Shahdadkot District	Sind	Pakistan	PAK	67.81491000000005	27.466920000000073	100	
was,--had	GPE	been wise. His Colonel,--of the old school though he was,--had admitted, when pressed, that the young Mahomedan,	227	Washad, Ba'dan, Ibb, YEM	Locality	City					Ba'dan	Ibb	Yemen	YEM	44.36162000000007	13.960930000000076	99	
India	GPE	titles tacked on to it. Like all natives of India he lived largely on the approbation of his immediate superiors	228	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
India	GPE	there had not been wanting--there never is in India--others, less scrupulous, ready to trade on	247	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Lucknow	GPE	He took a poor creature from Martin's school at Lucknow, at last, who could not even speak English	250	Lucknow, Uttar Pradesh, IND	Locality	City				Lucknow	Lucknow	Uttar Pradesh	India	IND	80.92135000000007	26.85471000000007	100	
Ramanund	GPE	"of drugs, shot a glance of absolute defiance at Ramanund. ""Thy name, pundit-jee, is"	258	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
Ramanund	GPE	Here Ramanund, who had hitherto listened indifferently, took up the	267	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
Ramanund	GPE	"Dya Ram looked at him, then at Ramanund perplexedly. ""What means he?"" he said"	269	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
Ramanund	GPE	"""My wife was dying,"" replied Ramanund in a low, rapid undertone, ""and I"	270	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
Rome	GPE	him back absolutely to a palazzo on the outskirts of Rome, with the pale flood of the Tiber flowing beneath	280	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
pup'll	GPE	"voice, ""mum wants 'oo, 'tos pup'll go off, she says, wis' all a"	293	Pupill, улица Ленина, 51, Минеральные Воды, Ставропольский край, 357203, RUS	POI	Clothing Store	улица Ленина, 51	Ленина	51	Минеральные Воды	Минеральные Воды	Ставропольский край	Russian Federation	RUS	43.13796000000008	44.212960000000066	83.33	
wis	GPE	, 'tos pup'll go off, she says, wis' all a gemplemen, an' she wants '	293	Wisconsin, USA	Locality	State or Province						Wisconsin	United States	USA	-89.73918542399997	44.64483336700005	100	
wis	GPE	", an' she wants 'oo to go off wis' a ladies!"""	293	Wisconsin, USA	Locality	State or Province						Wisconsin	United States	USA	-89.73918542399997	44.64483336700005	100	
the united rivers	GPE	but once there, with the broad still basin of the united rivers before you, a cool breeze blew pleasantly from that	303	United Divers, Al Qadi Road, Batha'a Quraish, Makkah, 24361, SAU	POI	Sporting Goods Store	Al Qadi Road	Al Qadi		Makkah		Makkah	Kingdom of Saudi Arabia	SAU	39.83363000000003	21.35982000000007	85.62	
England	GPE	"and shone; the very legend round the arms of England above the Vice-regal chair stood out clear """	359	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Ramanund	GPE	"men of old knew. Is it not so, Ramanund?"""	362	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
Euston	GPE	"always popping in and out--I've seen it at Euston--it will come back directly."" And then"	366	Euston, West Suffolk, Suffolk, England, GBR	Locality	Village				West Suffolk	Suffolk	England	United Kingdom	GBR	0.786011343000041	52.37960584700005	100	
India	GPE	or seven millions of wild tribes and forest races in India which go to make up its two hundred and eighty	386	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Pundit Ramanund	GPE	only one canoe in Eshwara, and that belonged to Pundit Ramanund. He had been over the black water, and	387	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	72.5	
Ramanund	GPE	one of the men Am-ma knew must be Ramanund; the other, by his turban, was a	388	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
Ramanund	GPE	"the camp as quickly as we can,"" said Ramanund, interrupting an impatient retort of Roshan Khân's,"	393	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
salaam	GPE	nearer in shallower water, where he could stand and salaam.	394	Salaam, 135 Wright Street, Small Heath, Birmingham, West Midlands, England, B10 9, GBR	POI	Butcher	135 Wright Street	Wright	135	Birmingham	West Midlands	England	United Kingdom	GBR	-1.8604199999999764	52.471430000000055	100	
Dee-puk-	GPE	"the Brahmin lad the Huzoors killed by mistake with their Dee-puk-râg. Didst hear the tale?"" asked Ramanund"	399	Deepur, Buldana Sub-District, Buldana, Maharashtra, IND	Locality	Village				Buldana Sub-District	Buldana	Maharashtra	India	IND	76.05130000000008	20.452150000000074	82.33	
Ramanund	GPE	"-râg. Didst hear the tale?"" asked Ramanund. Why, he would have been puzzled to tell"	399	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
India	GPE	till those small hours which end gossip, even in India, and the talk had confirmed the theory, which	399	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Ramanund	GPE	Ramanund frowned; perhaps because Am-ma concluded by ordering	401	Ramakund, Samata Colony, Rayapur, Chhatteesagadh, IND	Locality	Zone				Rayapur	Rayapur	Chhatteesagadh	Bharat	IND	81.61859000000004	21.24431000000004	87.5	
