Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Switzerland	GPE	other than human! I would purchase a crag in Switzerland, and thereon build a wooden nest of one story	77	Switzerland	Locality	Country							Switzerland	CHE	8.245024096000066	46.79981744200006	100	
all?—Who	GPE	"What is behind my think? Am I there at all?—Who, what am I?"""	79															nothing found
Entreaty	GPE	Entreaty was vain. I must accept my fate! But	178															nothing found
threatful	GPE	, perched with outstretched wings on the top, appeared threatful.	385															nothing found
swallowy	GPE	a bird-butterfly, it flew with a certain swallowy double. Its wings were very large, nearly square	444	Swallow, West Lindsey, Lincolnshire, England, GBR	Locality	Village				West Lindsey	Lincolnshire	England	United Kingdom	GBR	-0.22691481799995472	53.51084219100005	87.5	
ROSE	GPE	I ROSE to resume my journey, and walked many a desert	759	Rose, Cosenza, ITA	Locality	City				Rose	Cosenza	Calabria	Italia	ITA	16.28711000000004	39.399470000000065	100	
pavin	GPE	of those I now saw—the minuet, the pavin, the hey, the coranto, the lavolta.	774	Pavín, Juárez Celman, Córdoba, ARG	Locality	Village					Juárez Celman	Córdoba	Argentina	ARG	-63.76969999999994	-33.65551999999997	100	
moment,—Why	GPE	when you are sober? I cannot—at the moment,—Why, what is my name?—I must have been very drunk	797	Moment, 202 E Green St, Champaign, IL, 61820, USA	POI	Bakery	202 E Green St	Green	202	Champaign	Champaign County	Illinois	United States	USA	-88.23670699999997	40.11034900000004	76	
What?—You	GPE	"""It! What?—You would have buried this?"" she exclaimed, flashing"	980															nothing found
ROSE	GPE	I ROSE, and looked around me, dazed at heart.	998	Rose, Cosenza, ITA	Locality	City				Rose	Cosenza	Calabria	Italia	ITA	16.28711000000004	39.399470000000065	100	
Nettled	GPE	"Nettled at the coolness of the raven's remark, """	1260	Nettley, Western Australia, AUS	POI	House					Broomehill-Tambellup	Western Australia	Australia	AUS	117.84363000000008	-33.84335999999996	85.71	
me,—not	GPE	you were delivering yourself!—Mr. Vane, when God created me,—not out of Nothing, as say the unwise, but	1332	Mernot, New South Wales, AUS	Locality	City				Mernot		New South Wales	Australia	AUS	151.57558000000006	-31.684499999999957	82.33	
New Jerusalem	GPE	the mother of us all, the lady of the New Jerusalem.	1337	New Jerusalem, Rockland Twp, PA, USA	Locality	Village				Rockland Twp	Berks County	Pennsylvania	United States	USA	-75.74724999999995	40.448180000000036	100	
do.—See	GPE	A man can do nothing he is not fit to do.—See! did I not tell you Mara would do her	1395	Do, Kawashimachomitsujima, Yoshinogawa, Tokushima, JPN	Locality	Neighborhood	Do					Tokushima	Japan	JPN	134.27643711000007	34.06221645000005	73.26	
why.—A	GPE	"""That is just why.—A friend is one who gives us what we need,"	1714	Why, 60 Rue Jean-Jacques Rousseau, 75001, 1er Arrondissement, Paris, Île-de-France, FRA	POI	Bar or Pub	60 Rue Jean-Jacques Rousseau	Jean-Jacques Rousseau	60	Paris	Paris	Île-de-France	France	FRA	2.343560000000025	48.86406000000005	76	
dividual	GPE	deep sighs, then murmur as holding colloquy with a dividual self: her queendom was no longer whole; it	1811	Dividal, Målselv, Troms og Finnmark, NOR	POI	Valley					Målselv	Troms og Finnmark	Norge	NOR	19.546830000000057	68.88147000000004	87.5	
Mara	GPE	, for I would pass again by the cottage of Mara, lest she should have returned: I longed to	2068	Mara, Zulia, VEN	Locality	City					Mara	Zulia	Venezuela	VEN	-71.73089999999996	10.960050000000024	100	
God.—I	GPE	I was where I am—in the heart of God.—I dreamed away dim cycles in the centre of a melting	2148	God, Avenue de la Joliette, 34300, Le Cap d'Agde, Agde, Hérault, Occitanie, FRA	POI	Pharmacy	Avenue de la Joliette	Joliette		Agde	Hérault	Occitanie	France	FRA	3.5248300000000654	43.295210000000054	76	
