Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
France	GPE	of several months to be spent in the south of France, unnecessary and unpleasant details all omitted.	150	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Bath	GPE	, and Violet will have to spend her winter in Bath. Julia? Oh, Julia was not asked in	151	Bath, Somerset, England, GBR	Locality	City				Bath	Somerset	England	United Kingdom	GBR	-2.3592838029999257	51.38279963800005	100	
Holland	GPE	was never satisfied with the one she had. In Holland, as in England, it seemed posts were not	156	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
England	GPE	the one she had. In Holland, as in England, it seemed posts were not easy to fill satisfactorily	156	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Sodom	GPE	"she was imitating the Patriarch when he was pleading for Sodom and Gomorrah, ""if there were ten bulbs,"	173	Sodom, Wiltshire, England, GBR	Locality	Village				Sodom	Wiltshire	England	United Kingdom	GBR	-1.9957640589999528	51.53082472500006	100	
London	GPE	she thought, but the next day she wrote to London for a second-hand Dutch dictionary, and then	184	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Holland	GPE	When Mrs. Polkington heard Julia wanted to go to Holland and live in a Dutch family she was surprised.	186	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Holland	GPE	When Violet suggested that it was odd to have chosen Holland in preference to France or Germany, she replied truthfully	186	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
France	GPE	it was odd to have chosen Holland in preference to France or Germany, she replied truthfully that the one was	186	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Germany	GPE	odd to have chosen Holland in preference to France or Germany, she replied truthfully that the one was possible to	186	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Holland	GPE	"quite approved of the plan, saw no objection to Holland, adding as a recommendation, ""It is so"	187	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
London	GPE	was going, and what time she would be in London, as he would like to give himself the pleasure	189	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Holland	GPE	Stairs. There is a cheap way of going to Holland from there for those who do not mind spending twenty	201	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Holland	GPE	yes; there is no passenger but one, a Holland gentleman; he will not speak with the miss,	202	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Holland	GPE	she was only going to do what she must in Holland; the debt must be paid, honour demanded no	212	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
china	GPE	washed them and put them ready for supper in a china dish like a large soap dish on three feet.	239	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Mijnheer	GPE	and dry, sorted according to kind and quality; Mijnheer knew them all; he could, like a book	245															nothing found
Persia	GPE	in bloom as do hyacinths. The mourn iris of Persia is very beautiful; we have not one flowering yet	249	Persia, IA, USA	Locality	City				Persia	Harrison County	Iowa	United States	USA	-95.56854999999996	41.57906000000003	100	
Holland	GPE	is the greatest rarity that has ever been reared in Holland, a miracle, in fact—a blue daffodil	251	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Holland	GPE	. I would sooner—there are many men in Holland who would sooner—have produced this flower than have	257	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Mijnheer	GPE	next day, Sunday, Julia went to church with Mijnheer and Joost; Mevrouw did not find herself well enough	259															nothing found
Mijnheer	GPE	that was done they stopped again at the house of Mijnheer's head clerk; here they were to take up	295															nothing found
England	GPE	"""Do they have such picnics as this in England?"" Anna asked, as she gathered up the"	306	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Mijnheer	GPE	while with Mevrouw, and helping to detail it to Mijnheer. At last the table was ready for supper and	334															nothing found
Holland	GPE	", but his greeting was a very usual question in Holland, ""Will you not catch cold?"""	340	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
England	GPE	"no doubt; you have not had a letter from England for a long time."""	349	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Delft	GPE	-board things of bright red mahogany, with modern Delft vases, very blue indeed, upon them. And	385	Delft, NLD	Locality	City					Delft	Zuid-Holland	Nederland	NLD	4.36534000000006	52.00878000000006	100	
England	GPE	"you have not found these absurd rules and restrictions in England?"""	439	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Holland	GPE	thought herself the deepest and most diplomatic young woman in Holland; she even found it in her heart to pity	473	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Germany	GPE	"shall have for a little while; Joost goes to Germany on business to-morrow."""	478	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Germany	GPE	at home and doing crochet work while Joost is in Germany, for instance, may help me a good deal	482	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Holland	GPE	mentioning, and was not only the first chemist in Holland, but in all the world; he looked down	493	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Holland	GPE	, but it would eventually raise the little army of Holland far above those of all other nations.	493	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
England	GPE	Herr Van de Greutz had a secret worth anything to England, it was that which had brought Rawson-Clew	496	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Germany	GPE	The next day Joost started for Germany. It rained more or less all day, and	529	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Mijnheer	GPE	surprised if she had volunteered to go in place of Mijnheer, even if his cold had not offered a reason	534															nothing found
Germany	GPE	once again—that it was possibly not raining in Germany.	537	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
London	GPE	in the early autumn—Captain Polkington was coming to London, perhaps for as long as three months. Johnny	558	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Germany	GPE	letters arrived on the day that Joost came home from Germany, after the English mail for the day had gone	559	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Germany	GPE	hook her son had brought her as a present from Germany. Joost had brought several small presents besides the crochet	559	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Berlin	GPE	photograph of a plant which was the pride of the Berlin gardens that year—an aloe, no yucca,	559	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
Berlin	GPE	in his hearing a wish that she had something from Berlin; she had said it rather pronouncedly as one might	560	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
Berlin	GPE	slip the fact that Julia also had a present from Berlin.	560	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
England	GPE	of jealousy. She had thrust her two letters from England into her pocket, and as she went she kept	568	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	could do except prevent the banishing of her father to London. She would write to her mother about that,	568	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	"real holiday, then, like a bank holiday in England?"""	614	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Paris	GPE	she had an intuitive idea that they came nearer to Paris, the sartorial ideal of the nations, than her	628	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
geese	GPE	understand the art of holiday-making, chase wild geese, and otherwise do nothing of any account, with	640	Geese, Gayungan, Jawa Timur, 60234, IDN	POI	Clothing Store				Gayungan		Jawa Timur	Indonesia	IDN	112.72845000000007	-7.34561999999994	100	
broodje	GPE	picnic, and it was really necessary to eat the broodje in the correct picnic way. Rawson-Clew tried	664	Broodjes, Waalhaven Z.Z. 35, 3089 Rotterdam, NLD	POI	Sandwich Shop	Waalhaven Z.Z. 35	Waalhaven Z.Z.	35	Rotterdam	Rotterdam	Zuid-Holland	Nederland	NLD	4.443790000000035	51.87901000000005	87.5	
England	GPE	"""I am going back to England soon,"" he said."	666	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	girl, what would become of the girl? In England, in ninety-nine cases out of a hundred	768	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Holland	GPE	a hundred, she would have been dismissed; in Holland that one last hope did not exist. She would	768	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Holland	GPE	them; she could not get anything to do in Holland, or elsewhere—in Heaven's name what could	768	Holland	Locality	Country							Nederland	NLD	5.616126398000063	52.24937529300007	100	
Norfolk	GPE	paper there rose up the vision of a stately old Norfolk house. It was his; he had not lived	771	Norfolk, VA, USA	Locality	City				Norfolk	City of Norfolk	Virginia	United States	USA	-76.28513999999996	36.84686000000005	100	
Norfolk	GPE	day—when he went to live in the old Norfolk house. Hers was not a stately or a gracious	772	Norfolk, VA, USA	Locality	City				Norfolk	City of Norfolk	Virginia	United States	USA	-76.28513999999996	36.84686000000005	100	
Denah	GPE	before the old lady, supported by Vrouw Snieder and Denah, arrived. Mijnheer came home not long after,	774	Deonah, Barauni, Begusarai, Bihar, IND	Locality	District				Barauni	Begusarai	Bihar	India	IND	86.05381000000006	25.445970000000045	83.33	
England	GPE	he was a man she had met before she left England. The two elder sisters gradually became silent to listen	777	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
