Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Artemis	GPE	remote, virgin look of modern girls, sisters of Artemis rather than of Hebe. Gudrun was very beautiful,	21	Artemis, Piracicaba, São Paulo, BRA	Locality	Village				Piracicaba		São Paulo	Brasil	BRA	-47.77554999999995	-22.664879999999982	100	
Hebe	GPE	of modern girls, sisters of Artemis rather than of Hebe. Gudrun was very beautiful, passive, soft-	21	Hebe, Jordan Twp, PA, USA	Locality	Village				Jordan Twp	Northumberland County	Pennsylvania	United States	USA	-76.73557999999997	40.66134000000005	100	
London	GPE	smart woman.” She had just come back from London, where she had spent several years, working at	21	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Chelsea	GPE	without poverty. Gudrun, new from her life in Chelsea and Sussex, shrank cruelly from this amorphous ugliness of	66	Chelsea, MA, USA	Locality	City				Chelsea	Suffolk County	Massachusetts	United States	USA	-71.03236999999996	42.39376000000004	100	
Sussex	GPE	. Gudrun, new from her life in Chelsea and Sussex, shrank cruelly from this amorphous ugliness of a small	66	Sussex, NB, CAN	Locality	City				Sussex	Kings County	New Brunswick	Canada	CAN	-65.51087299999995	45.723648000000026	100	
paroxyism	GPE	unbroken wolf.” And then she experienced a keen paroxyism, a transport, as if she had made some	95															nothing found
London	GPE	the county. But Gudrun had met others, in London. Moving with her artist friends in different kinds of	98	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Willey Green	GPE	superior, of anyone she was likely to meet in Willey Green. She knew she was accepted in the world of	99	Willey Green, Guildford, Surrey, England, GBR	Locality	Village				Guildford	Surrey	England	United Kingdom	GBR	-0.6573583799999483	51.25617299500004	100	
Kulturträger	GPE	world of culture and of intellect. She was a Kulturträger, a medium for the culture of ideas. With	99															nothing found
Charming Jersey	GPE	and the opposite woods were purplish with new life. Charming Jersey cattle came to the fence, breathing hoarsely from their	264	Charing Cross, St Helier, Jersey, JE2 3, JEY	StreetName		Charing Cross	Charing Cross		Jersey			Jersey	JEY	-2.109313907645786	49.18514737967276	78.57	
London	GPE	One day at this time Birkin was called to London. He was not very fixed in his abode.	549	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Nottingham	GPE	very fixed in his abode. He had rooms in Nottingham, because his work lay chiefly in that town.	549	Nottingham, Nottinghamshire, England, GBR	Locality	City				Nottingham	Nottinghamshire	England	United Kingdom	GBR	-1.151201227999934	52.95621587800008	100	
London	GPE	chiefly in that town. But often he was in London, or in Oxford. He moved about a great	549	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Oxford	GPE	. But often he was in London, or in Oxford. He moved about a great deal, his life	549	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100	
London	GPE	“London. So are you, I suppose.”	554	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Empire	GPE	a nation we can sport the Ritz, or the Empire, Gaby Deslys and the Sunday newspapers. It is	584	Empire, CA, USA	Locality	City				Empire	Stanislaus County	California	United States	USA	-120.89932999999996	37.637920000000065	100	
Brocken	GPE	himself reflected in the neighbouring opinion, like in a Brocken mist, several feet taller on the strength of the	590	Brocken, 38879, Wernigerode, Sachsen-Anhalt, DEU	POI	Tourist Attraction				Wernigerode	Harz	Sachsen-Anhalt	Deutschland	DEU	10.615370000000041	51.800320000000056	100	
Sodom	GPE	mankind is destroyed, if our race is destroyed like Sodom, and there is this beautiful evening with the luminous	663	Sodom, Wiltshire, England, GBR	Locality	Village				Sodom	Wiltshire	England	United Kingdom	GBR	-1.9957640589999528	51.53082472500006	100	
London	GPE	“Where are you staying in London?”	665	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	“Art—music—London Bohemia—the most pettifogging calculating Bohemia that ever reckoned	671	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Bohemia	GPE	—music—London Bohemia—the most pettifogging calculating Bohemia that ever reckoned its pennies. But there are a	671	Bohemia, NY, USA	Locality	City				Bohemia	Suffolk County	New York	United States	USA	-73.10128999999995	40.76604000000003	100	
London	GPE	might see something of each other—I am in London for two or three days,” said Gerald.	678	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
